id;name;win;problev
1;payment edge Sleek;Managed Gorgeous;white
2;Balboa Chips;panel Corners;Forward
3;Decentralized Expanded;Bedfordshire;Program Concrete International
4;Personal;capacitor Incredible Burundi;Shoes yellow
5;invoice Chief tangible;Movies;copy PCI
6;Account Gorgeous;up input indexing;ivory mission-critical payment
7;salmon;Integration Frozen Lesotho;Operative
8;Operations;forecast;indigo incentivize
9;copy;Metal;granular content Practical
10;cross-platform cyan;generation tan;deposit moratorium
