id;brande;win;date_receiving
1;USB brand optical;Devolved open-source backing;2021-07-12
2;generate Euro Territory;Dobra plug-and-play;2021-07-12
3;Associate Chief;optimizing JSON Developer;2021-07-12
4;Intranet support Future;Metal;2021-07-12
5;Shoes coherent reintermediate;Sleek Rand;2021-07-13
6;Cambridgeshire Liberian;Refined;2021-07-12
7;scale;Greenland;2021-07-12
8;networks;panel Avon calculate;2021-07-12
9;deposit Loan Auto;Fantastic indexing;2021-07-13
10;Leone;pink help-desk Small;2021-07-12
